Operation	CPU Utilization (Cores)	Memory Utilization (GB)
Map/Filter	1-2 cores per executor	1-2 GB per executor
FlatMap	1-3 cores per executor	1-3 GB per executor
Join (non-broadcast)	3-6 cores per executor	8-16 GB per executor
Broadcast Join	1-3 cores per executor	4-8 GB per executor (small dataset fits into memory)
GroupByKey	4-8 cores per executor	16-32 GB per executor
ReduceByKey	3-6 cores per executor	12-24 GB per executor
Repartition	2-4 cores per executor	4-8 GB per executor
Coalesce	1-2 cores per executor	2-4 GB per executor
Sort	4-8 cores per executor	16-32 GB per executor
Window Functions	4-8 cores per executor	16-32 GB per executor
Union	2-3 cores per executor	4-8 GB per executor
Distinct	4-8 cores per executor	16-32 GB per executor
Cache/Persist	1-2 cores per executor	Depends on dataset size (high, can be up to 50-75% of executor memory)
Cartesian	6-12 cores per executor	32-64 GB per executor
ZipWithIndex	1-2 cores per executor	2-4 GB per executor
